OBJECTID_First,COUNT,AREA,MEAN
98,3771163.000000000000000,40592298.329129904508591,0.733634425242300
99,643743.000000000000000,6929164.266643757000566,0.240479508126688
100,1582342.000000000000000,17032119.407915294170380,0.282066076739415
101,2456398.000000000000000,26440342.258098639547825,0.527392547950295
102,5306171.000000000000000,57114920.839374363422394,0.610270946790066
103,4390213.000000000000000,47255670.419025741517544,0.640785082637223
104,1951159.000000000000000,21002016.676438216120005,0.580006037437236
105,3787600.000000000000000,40769224.016944490373135,0.675829813074227
106,3432307.000000000000000,36944897.290613234043121,0.414649388880422
107,2145784.000000000000000,23096934.361594468355179,0.623463032625832
108,2765364.000000000000000,29766011.301191698759794,0.527469078211768
109,19934795.000000000000000,214575489.250941187143326,0.760434857744994
110,5614890.000000000000000,60437931.207229234278202,0.647450617910605
111,2148376.000000000000000,23124834.305794470012188,0.217730974466294
112,1038278.000000000000000,11175886.675959734246135,0.369579245635561
113,1824944.000000000000000,19643455.157455574721098,0.285579173936293
114,3376978.000000000000000,36349343.273390315473080,0.461601171224681
115,1629707.000000000000000,17541949.985474325716496,0.334728880712915
116,1916211.000000000000000,20625841.039902105927467,0.431177986140356
117,2239848.000000000000000,24109426.781050026416779,0.485886095842222
118,1891746.000000000000000,20362503.024912521243095,0.327056592164067
119,975513.000000000000000,10500292.541039595380425,0.354812288508715
120,1642393.000000000000000,17678500.406817380338907,0.420701379024396
121,1741364.000000000000000,18743811.123413909226656,0.345680167960284
122,1885925.000000000000000,20299846.553003493696451,0.431606240969289
123,2890003.000000000000000,31107608.965213228017092,0.556881774863214
124,3769801.000000000000000,40577637.941784068942070,0.630633818602096
125,2643857.000000000000000,28458126.069745168089867,0.648294896433508
126,3933800.000000000000000,42342901.425138935446739,0.564009100615184
127,4955597.000000000000000,53341388.803120195865631,0.576272243283706
128,3802103.000000000000000,40925332.385282680392265,0.405136315349694
129,4452544.000000000000000,47926593.035511165857315,0.530564773756323
130,3409943.000000000000000,36704174.160949341952801,0.385236351458074
131,3829278.000000000000000,41217840.480820879340172,0.557703567095418
132,7571124.000000000000000,81494574.510525092482567,0.553196460657626
133,4351122.000000000000000,46834900.080012552440166,0.480659471281200
134,1159520.000000000000000,12480919.482555568218231,0.494901338484888
135,1320289.000000000000000,14211415.674334043636918,0.618155570484939
136,7382018.000000000000000,79459062.609334811568260,0.549847074336572
137,950123.000000000000000,10226997.948740983381867,0.433901715883106
138,3449667.000000000000000,37131758.028002120554447,0.699980606823797
139,13270893.000000000000000,142846132.015498071908951,0.476251824199032
140,3297083.000000000000000,35489364.090574346482754,0.640714837934010
141,3610777.000000000000000,38865924.698550738394260,0.450474510056973
142,1034438.000000000000000,11134553.425293067470193,0.605541366423117
143,1109865.000000000000000,11946439.648739596828818,0.407733372977794
144,979639.000000000000000,10544704.257771538570523,0.595528556948019
145,2745300.000000000000000,29550045.066458366811275,0.519854660692821
146,5933770.000000000000000,63870313.231340348720551,0.506194207055548
147,3447609.000000000000000,37109605.988972954452038,0.449427704823836
148,2879713.000000000000000,30996848.770067393779755,0.578768787028426
149,2624690.000000000000000,28251815.024034753441811,0.515990459825727
150,3224543.000000000000000,34708553.152199342846870,0.652109461712867
151,4754881.000000000000000,51180908.401867419481277,0.586776199025804
152,3324610.000000000000000,35785661.067423649132252,0.491148435455578
153,3395230.000000000000000,36545805.380465313792229,0.469173811494364
154,3122023.000000000000000,33605041.470338232815266,0.577281461411414
155,6817252.000000000000000,73379996.295269519090652,0.386144886531990
156,2956902.000000000000000,31827700.927804201841354,0.270859162731803
157,4629930.000000000000000,49835952.411229223012924,0.463108081547670
158,6351226.000000000000000,68363754.244440346956253,0.395773666375585
159,6067090.000000000000000,65305352.027923680841923,0.411234710544916
160,7610270.000000000000000,81915936.862243145704269,0.641274094086004
161,7793112.000000000000000,83884023.898283421993256,0.602090025140142
162,42200869.000000000000000,454244556.439626157283783,0.617772515537487
163,17734439.000000000000000,190891149.119716167449951,0.631282105963391
164,6438618.000000000000000,69304430.140862569212914,0.446077248254207
165,11443748.000000000000000,123178985.585980683565140,0.605621340141357
166,6657968.000000000000000,71665484.446522295475006,0.494866301550265
167,15832340.000000000000000,170417207.776014059782028,0.678692852730569
168,10775068.000000000000000,115981402.758952900767326,0.543616615690996
169,11060712.000000000000000,119056036.887450128793716,0.612462922820881
170,5686663.000000000000000,61210486.259338259696960,0.542556328729173
171,20785399.000000000000000,223731277.883771777153015,0.612890664259088
172,23525854.000000000000000,253229172.012865543365479,0.566498584918518
173,13765469.000000000000000,148169682.479486972093582,0.660682320377163
174,11753088.000000000000000,126508680.315466806292534,0.693652765979441
175,15652818.000000000000000,168484856.779612690210342,0.508572194476425
176,6239809.000000000000000,67164476.434667438268661,0.451409810781075
177,3162543.000000000000000,34041193.375810451805592,0.572634111219989
178,8335289.000000000000000,89719945.212528571486473,0.657532810200095
179,9579788.000000000000000,103115567.379564002156258,0.713826965690684
